numero;titulo;ativo
1; Você conhece bem a Deus?;true
2; Você vai sobreviver aos últimos dias?;true
3; Você está avançando com a organização unida de Jeová?;true
4; Que provas temos de que Deus existe?;true
5; Você pode ter uma família feliz!;true
6; O dilúvio dos dias de Noé e você;true
7; Imite a misericórdia de Jeová;true
8; Viva para fazer a vontade de Deus;true
9; Escute e faça o que a Bíblia diz;true
10; Seja honesto em tudo;true
11; Imite a Jesus e não faça parte do mundo;true
12; Deus quer que você respeite quem tem autoridade;true
13; Qual o ponto de vista de Deus sobre o sexo e o casamento?;true
14; Um povo puro e limpo honra a Jeová;true
15; ‘Faça o bem a todos’;true
16; Seja cada vez mais amigo de Jeová;true
17; Glorifique a Deus com tudo o que você tem;true
18; Faça de Jeová a sua fortaleza;true
19; Como você pode saber seu futuro?;true
20; Chegou o tempo de Deus governar o mundo?;true
21; Dê valor ao seu lugar no Reino de Deus;true
22; Você está usando bem o que Jeová lhe dá?;true
23; A vida tem objetivo;true
24; Você encontrou “uma pérola de grande valor”?;true
25; Lute contra o espírito do mundo;true
26; Você é importante para Deus?;true
27; Como construir um casamento feliz;true
28; Mostre respeito e amor no seu casamento;true
29; As responsabilidades e recompensas de ter filhos;true
30; Como melhorar a comunicação na família;true
31; Você tem consciência da sua necessidade espiritual?;true
32; Como lidar com as ansiedades da vida;true
33; Quando vai existir verdadeira justiça?;true
34; Você vai ser marcado para sobreviver?;true
35; É possível viver para sempre? O que você precisa fazer?;true
36; Será que a vida é só isso?;true
37; Obedecer a Deus é mesmo a melhor coisa a fazer?;true
38; Como você pode sobreviver ao fim do mundo?;true
39; Jesus Cristo vence o mundo — Como e quando?;true
40; O que vai acontecer em breve?;true
41; Fiquem parados e vejam como Jeová os salvará;true
42; O amor pode vencer o ódio?;true
43; Tudo o que Deus nos pede é para o nosso bem;true
44; Como os ensinos de Jesus podem ajudar você?;true
45; Continue andando no caminho que leva à vida;true
46; Fortaleça sua confiança em Jeová;true
47; ‘Tenha fé nas boas novas’;true
48; Seja leal a Deus mesmo quando for testado;true
49; Será que um dia a Terra vai ser limpa?;true
50; Como sempre tomar as melhores decisões;true
51; Será que a verdade da Bíblia está mudando a sua vida?;true
52; Quem é o seu Deus?;true
53; Você pensa como Deus?;true
54; Fortaleça sua fé em Deus e em suas promessas;true
55; Você está fazendo um bom nome perante Deus?;true
56; Existe um líder em quem você pode confiar?;true
57; Como suportar perseguição;true
58; Quem são os verdadeiros seguidores de Cristo?;true
59; Ceifará o que semear;true
60; Você tem um objetivo na vida?;true
61; Nas promessas de quem você confia?;true
62; Onde encontrar uma esperança real para o futuro?;true
63; É possível encontrar a verdade?;true
64; Você ama os prazeres ou a Deus?;true
65; Como podemos ser pacíficos num mundo cheio de ódio;true
66; Você também vai participar na colheita?;true
67; Medite na Bíblia e nas criações de Jeová;true
68; ‘Continuem a perdoar uns aos outros liberalmente’;true
69; Por que mostrar amor abnegado?;true
70; Por que Deus merece sua confiança?;true
71; ‘Mantenha-se desperto’ — Por que e como?;true
72; O amor identifica os cristãos verdadeiros;true
73; Você tem “um coração sábio”?;true
74; Os olhos de Jeová estão em todo lugar;true
75; Mostre que você apoia o direito de Jeová governar;true
76; Princípios bíblicos — Podem nos ajudar a lidar com os problemas atuais?;true
77; “Sempre mostrem hospitalidade”;true
78; Sirva a Jeová com um coração alegre;true
79; Você vai escolher ser amigo de Deus?;true
80; Você baseia sua esperança na ciência ou na Bíblia?;true
81; Quem está qualificado para fazer discípulos?;true
82; Jeová e Cristo fazem parte de uma trindade?;true
83; Será que os cristãos precisam obedecer aos Dez Mandamentos?;true
84; Escapará do destino deste mundo?;true
85; Boas notícias num mundo violento;true
86; Como orar a Deus e ser ouvido por ele?;true
87; Qual é a sua relação com Deus?;true
88; Por que viver de acordo com os padrões da Bíblia?;true
89; Quem tem sede da verdade, venha!;true
90; Faça o máximo para alcançar a verdadeira vida!;true
91; A presença do Messias e seu domínio;true
92; O papel da religião nos assuntos do mundo;true
93; Desastres naturais — Quando vão acabar?;true
94; A religião verdadeira atende às necessidades da sociedade humana;true
95; Não seja enganado pelo ocultismo!;true
96; O que vai acontecer com as religiões?;true
97; Permaneçamos inculpes em meio a uma geração pervertida;true
98; “A cena deste mundo está mudando”;true
99; Por que podemos confiar no que a Bíblia diz?;true
100; Como fazer amizades fortes e verdadeiras;true
101; Jeová é o “Grandioso Criador”;true
102; Preste atenção à “palavra profética”;true
103; Como você pode ter a verdadeira alegria?;true
104; Pais, vocês estão construindo com materiais à prova de fogo?;true
105; Somos consolados em todas as nossas tribulações;true
106; Arruinar a terra provocará retribuição divina;true
107; Você está treinando bem a sua consciência?;true
108; Você pode encarar o futuro com confiança!;true
109; O Reino de Deus está próximo;true
110; Deus vem primeiro na vida familiar bem-sucedida;true
111; É possível que a humanidade seja completamente curada?;true
112; Como mostrar amor num mundo egoísta;true
113; Jovens - Como vocês podem ter uma vida feliz?;true
114; Apreço pelas maravilhas da criação de Deus;true
115; Não caia nas armadilhas de Satanás;true
116; Escolha sabiamente com quem irá associar-se!;true
117; Como vencer o mal com o bem;true
118; Olhemos os jovens do ponto de vista de Jeová;true
119; Por que é benéfico que os cristãos vivam separados do mundo;true
120; Por que se submeter à regência de Deus agora;true
121; Uma família mundial que será salva da destruição;true
122; Paz global — de onde virá?;true
123; Por que os cristãos têm de ser diferentes;true
124; Razões para crer que a Bíblia é de autoria divina;true
125; Por que a humanidade precisa de resgate;true
126; Quem se salvará?;true
127; O que acontece quando morremos?;true
128; É o inferno um lugar de tormento ardente?;true
129; O que a Bíblia diz sobre a Trindade?;true
130; A terra permanecerá para sempre;true
131; Tome posição contra o Diabo!;true
132; Ressurreição — A vitória sobre a morte!;true
133; Tem importância o que cremos sobre a nossa origem?;true
134; Será que os cristãos precisam guardar o sábado?;true
135; A santidade da vida e do sangue;true
136; Será que Deus aprova o uso de imagens na adoração?;true
137; Ocorreram realmente os milagres da Bíblia?;true
138; Viva com bom juízo num mundo depravado;true
139; Sabedoria divina num mundo científico;true
140; Quem é realmente Jesus Cristo?;true
141; Quando terão fim os gemidos da criação humana?;true
142; Por que refugiar-se em Jeová;true
143; Confie no Deus de todo consolo;true
144; Uma congregação leal sob a liderança de Cristo;true
145; Quem é semelhante a Jeová, nosso Deus?;true
146; Use a educação para louvar a Jeová;true
147; Confie que Jeová tem o poder para nos salvar;true
148; Você tem o mesmo conceito de Deus sobre a vida?;true
149; O que significa “andar com Deus”?;true
150; Este mundo está condenado à destruição?;true
151; Jeová é “uma altura protetora” para seu povo;true
152; Armagedom — por que e quando?;true
153; Tenha bem em mente o “atemorizante dia”!;true
154; O governo humano é pesado na balança;true
155; Chegou a hora do julgamento de Babilônia?;true
156; O Dia do Juízo — tempo de temor ou de esperança?;true
157; Como os verdadeiros cristãos adornam o ensino divino;true
158; Seja corajoso e confie em Jeová;true
159; Como encontrar segurança num mundo perigoso;true
160; Mantenha a identidade cristã!;true
161; Por que Jesus sofreu e morreu?;true
162; Seja liberto deste mundo em escuridão;true
163; Por que temer o Deus verdadeiro?;true
164; Será que Deus ainda está no controle?;true
165; Os valores de quem você preza?;true
166; Verdadeira fé — O que é e como mostrar;true
167; Ajamos sabiamente num mundo insensato;true
168; Você pode sentir-se seguro neste mundo atribulado!;true
169; Por que ser orientado pela Bíblia?;true
170; Quem está qualificado para governar a humanidade?;true
171; Poderá viver em paz agora — e para sempre!;true
172; Que reputação você tem perante Deus?;true
173; Existe uma religião verdadeira do ponto de vista de Deus?;true
174; Quem se qualificará para entrar no novo mundo de Deus?;true
175; O que prova que a Bíblia é autêntica?;true
176; Quando haverá verdadeira paz e segurança?;true
177; Onde encontrar ajuda em tempos de aflição?;true
178; Ande no caminho da integridade;true
179; Rejeite as fantasias do mundo, empenhe-se pelas realidades do reino;true
180; A Ressurreição — Por que essa esperança deve ser real para você;true
181; Já é mais tarde do que você imagina?;true
182; O que o Reino de Deus está fazendo por nós agora?;true
183; Desvie seus olhos do que é fútil;true
184; A morte é o fim de tudo?;true
185; Será que a verdade influencia sua vida?;true
186; Sirva em união com o povo feliz de Deus;true
187; Por que um Deus amoroso permite a maldade?;true
188; Você confia em Jeová?;true
189; Ande com Deus e receba bênçãos para sempre;true
190; Como se cumprirá a promessa de perfeita felicidade familiar;true
191; Como o amor e a fé vencem o mundo;true
192; Você está no caminho para a vida eterna?;true
193; Os problemas de hoje logo serão coisa do passado;true
194; Como a sabedoria de Deus nos ajuda;true
